Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
YAE1,7p14.1,0.846543581,1.64E-38,3.25E-34
CBX3,7p15.2,0.826506369,3.02E-35,2.98E-31
PSMA2,7p14.1,0.80486618,3.67E-32,2.42E-28
SSBP1,7q34,0.796221554,4.90E-31,2.42E-27
BUD31,7q22.1,0.775244502,1.63E-28,6.42E-25
STARD3NL,7p14-p13,0.757277802,1.45E-26,4.79E-23
MALSU1,7p15.3,0.750255236,7.59E-26,2.14E-22
SNRPG,2p13.3,0.744554172,2.79E-25,6.88E-22
PSMG3,7p22.3,0.741314823,5.75E-25,1.26E-21
COA1,7p13,0.737545919,1.32E-24,2.60E-21
RPA3,7p21.3,0.732422117,3.97E-24,7.14E-21
MPLKIP,7p14.1,0.730990888,5.38E-24,8.87E-21
POLR2J,7q22.1,0.726391871,1.41E-23,2.15E-20
C8ORF76,8q24.13,0.725604694,1.66E-23,2.34E-20
MRPL32,7p14.1,0.724831831,1.95E-23,2.57E-20
MRPS24,7p13,0.723381518,2.62E-23,3.24E-20
CYCS,7p15.3,0.721640189,3.74E-23,4.35E-20
PPIH,1p34.2,0.721277611,4.03E-23,4.42E-20
ATP5MF,7q22.1,0.719374076,5.92E-23,6.15E-20
PPIA,7p13,0.715361863,1.32E-22,1.30E-19
KRT10,17q21.2,0.712070035,2.51E-22,2.36E-19
MRPL11,11q13.2,0.709155098,4.42E-22,3.97E-19
NUP37,12q23.2,0.708563523,4.95E-22,4.26E-19
DGUOK,2p13.1,0.704723057,1.03E-21,8.48E-19
HAUS1,18q21.1,0.701712705,1.81E-21,1.43E-18
PLEKHM1,17q21.31,-0.69937503,2.80E-21,2.13E-18
RFC2,7q11.23,0.698888412,3.06E-21,2.24E-18
SNRPD1,18q11.2,0.698592624,3.23E-21,2.28E-18
DCUN1D5,11q22.3,0.698201422,3.47E-21,2.37E-18
PMS2P1,7q22.1,0.697199561,4.17E-21,2.75E-18
PMPCB,7q22.1,0.696641382,4.62E-21,2.90E-18
ZNHIT1,7q22.1,0.696555508,4.70E-21,2.90E-18
FMC1,7q34,0.696183388,5.03E-21,3.01E-18
RPL26L1,5q35.1,0.692791374,9.29E-21,5.40E-18
DTYMK,2q37.3,0.690878298,1.31E-20,7.39E-18
HSPE1,2q33.1,0.689547254,1.66E-20,8.81E-18
MRPL22,5q33.2,0.689461381,1.68E-20,8.81E-18
ZFAND2A,7p22.3,0.689427985,1.69E-20,8.81E-18
TBCA,5q14.1,0.688989075,1.83E-20,9.28E-18
GBF1,10q24.32,-0.684046563,4.36E-20,2.15E-17
TMEM60,7q11.23,0.683812795,4.54E-20,2.18E-17
NUDCD2,5q34,0.683683985,4.64E-20,2.18E-17
HPF1,4q33,0.683130576,5.11E-20,2.35E-17
RHEB,7q36.1,0.682023758,6.19E-20,2.78E-17
POP7,7q22.1,0.681355851,6.94E-20,3.05E-17
COPS6,7q22.1,0.680334908,8.27E-20,3.55E-17
FAM200A,7q22.1,0.679943705,8.84E-20,3.72E-17
BANF1,11q13.1,0.679500024,9.53E-20,3.89E-17
ATRAID,2p23.3,0.679433233,9.64E-20,3.89E-17
LSM1,8p11.23,0.679008635,1.04E-19,4.10E-17
NDST1,5q33.1,-0.677334097,1.38E-19,5.34E-17
MTERF3,8q22.1,0.675492581,1.88E-19,7.14E-17
RAN,12q24.33,0.674151997,2.35E-19,8.77E-17
PSMC2,7q22.1,0.672940222,2.88E-19,1.05E-16
SEM1,7q21.3,0.669863079,4.78E-19,1.72E-16
CHCHD3,7q32.3-q33,0.669500501,5.08E-19,1.79E-16
YEATS4,12q15,0.669386003,5.17E-19,1.79E-16
MRPS33,7q34,0.669166547,5.36E-19,1.83E-16
MRPL39,21q21.3,0.669018654,5.50E-19,1.84E-16
BNIP1,5q35.1,0.668708554,5.78E-19,1.90E-16
ARF5,7q32.1,0.668407996,6.07E-19,1.97E-16
PSMD13,11p15.5,0.667701923,6.81E-19,2.15E-16
PSMD14,2q24.2,0.667668527,6.85E-19,2.15E-16
DNAJC8,1p35.3,0.667076952,7.54E-19,2.33E-16
LSM3,3p25.1,0.666680979,8.04E-19,2.45E-16
COQ5,12q24.31,0.666289776,8.57E-19,2.57E-16
CDK7,5q13.2,0.665607557,9.57E-19,2.82E-16
BTBD9,6p21.2,-0.665082773,1.04E-18,3.03E-16
AIMP2,7p22.1,0.663956872,1.25E-18,3.58E-16
C7ORF50,7p22.3,0.663398693,1.37E-18,3.86E-16
PSMB3,17q12,0.661499928,1.85E-18,5.15E-16
SLBP,4p16.3,0.660917895,2.03E-18,5.57E-16
C1QBP,17p13.2,0.660102094,2.31E-18,6.25E-16
SF3B6,2p23.3,0.65951052,2.53E-18,6.77E-16
DIABLO,12q24.31,0.659424646,2.57E-18,6.77E-16
SNRPB2,20p12.1,0.657669004,3.39E-18,8.81E-16
RP9,7p14.3,0.657406612,3.53E-18,9.06E-16
BOD1,5q35.2,0.657253948,3.61E-18,9.16E-16
NDUFA4,7p21.3,0.65608034,4.34E-18,1.08E-15
SNRPF,12q23.1,0.656008778,4.39E-18,1.08E-15
MRPS23,17q22,0.654367635,5.66E-18,1.38E-15
NUP54,4q21.1,0.653475502,6.50E-18,1.57E-15
TMEM199,17q11.2,0.653017509,6.98E-18,1.66E-15
LSM6,4q31.22,0.652955489,7.04E-18,1.66E-15
ITGB3BP,1p31.3,0.652802824,7.21E-18,1.68E-15
TRAPPC10,21q22.3,-0.652120605,8.01E-18,1.82E-15
SUMO2,17q25,0.652111063,8.02E-18,1.82E-15
DPY30,2p22.3,0.651891608,8.30E-18,1.86E-15
MRPS15,1p34.3,0.650775249,9.84E-18,2.19E-15
GON7,14q32.12,0.649940365,1.12E-17,2.45E-15
MRPL47,3q26.33,0.64946806,1.20E-17,2.61E-15
CCDC59,12q21.31,0.649272458,1.24E-17,2.66E-15
